ID_MN_RESI,UF,REGSAUDE,NU_ANO,MASCULINO_MUN,FEMININO_MUN,MASCULINO_UF,FEMININO_UF,MASCULINO_RS,FEMININO_RS,MUNICIPIO,ANO,DATA,RAZAO_MUN,RAZAO_UF,RAZAO_RS
120030,AC,Juruá e Tarauacá/Envira,2022,98.0,146.0,1016,1200,723,863,Feijó,2022,2022-01-01,0.6712328767123288,0.8466666666666667,0.8377752027809965
120032,AC,Baixo Acre e Purus,2022,,1.0,1016,1200,207,256,Jordão,2022,2022-01-01,,0.8466666666666667,0.80859375
120033,AC,Juruá e Tarauacá/Envira,2022,47.0,42.0,1016,1200,723,863,Mâncio Lima,2022,2022-01-01,1.119047619047619,0.8466666666666667,0.8377752027809965
120034,AC,Baixo Acre e Purus,2022,4.0,3.0,1016,1200,207,256,Manoel Urbano,2022,2022-01-01,1.3333333333333333,0.8466666666666667,0.80859375
120035,AC,Juruá e Tarauacá/Envira,2022,69.0,60.0,1016,1200,723,863,Marechal Thaumaturgo,2022,2022-01-01,1.15,0.8466666666666667,0.8377752027809965
120038,AC,Baixo Acre e Purus,2022,1.0,1.0,1016,1200,207,256,Plácido de Castro,2022,2022-01-01,1.0,0.8466666666666667,0.80859375
120039,AC,Juruá e Tarauacá/Envira,2022,27.0,22.0,1016,1200,723,863,Porto Walter,2022,2022-01-01,1.2272727272727273,0.8466666666666667,0.8377752027809965
120040,AC,Baixo Acre e Purus,2022,90.0,88.0,1016,1200,207,256,Rio Branco,2022,2022-01-01,1.0227272727272727,0.8466666666666667,0.80859375
120042,AC,Juruá e Tarauacá/Envira,2022,64.0,76.0,1016,1200,723,863,Rodrigues Alves,2022,2022-01-01,0.8421052631578947,0.8466666666666667,0.8377752027809965
120045,AC,Baixo Acre e Purus,2022,3.0,3.0,1016,1200,207,256,Senador Guiomard,2022,2022-01-01,1.0,0.8466666666666667,0.80859375
120050,AC,Baixo Acre e Purus,2022,95.0,151.0,1016,1200,207,256,Sena Madureira,2022,2022-01-01,0.6291390728476821,0.8466666666666667,0.80859375
120060,AC,Juruá e Tarauacá/Envira,2022,11.0,10.0,1016,1200,723,863,Tarauacá,2022,2022-01-01,1.1,0.8466666666666667,0.8377752027809965
120070,AC,Alto Acre,2022,14.0,11.0,1016,1200,86,81,Xapuri,2022,2022-01-01,1.2727272727272727,0.8466666666666667,1.0617283950617284
120080,AC,Baixo Acre e Purus,2022,4.0,2.0,1016,1200,207,256,Porto Acre,2022,2022-01-01,2.0,0.8466666666666667,0.80859375
130002,AM,Triângulo,2022,42.0,36.0,1021,1074,143,145,Alvarães,2022,2022-01-01,1.1666666666666667,0.9506517690875232,0.9862068965517241
130006,AM,Alto Solimões,2022,1.0,,1021,1074,37,25,Amaturá,2022,2022-01-01,,0.9506517690875232,1.48
130020,AM,Alto Solimões,2022,,1.0,1021,1074,37,25,Atalaia do Norte,2022,2022-01-01,,0.9506517690875232,1.48
130040,AM,Manaus; Entorno e Alto Rio Negro,2022,1.0,1.0,1021,1074,411,417,Barcelos,2022,2022-01-01,1.0,0.9506517690875232,0.9856115107913669
130070,AM,Regional Purus,2022,1.0,2.0,1021,1074,51,55,Boca do Acre,2022,2022-01-01,0.5,0.9506517690875232,0.9272727272727272
130080,AM,Rio Madeira,2022,2.0,6.0,1021,1074,147,165,Borba,2022,2022-01-01,0.3333333333333333,0.9506517690875232,0.8909090909090909
130100,AM,Regional Juruá,2022,6.0,19.0,1021,1074,145,167,Carauari,2022,2022-01-01,0.3157894736842105,0.9506517690875232,0.8682634730538922
130110,AM,Manaus; Entorno e Alto Rio Negro,2022,1.0,,1021,1074,411,417,Careiro,2022,2022-01-01,,0.9506517690875232,0.9856115107913669
130120,AM,Rio Negro e Solimões,2022,59.0,66.0,1021,1074,73,82,Coari,2022,2022-01-01,0.8939393939393939,0.9506517690875232,0.8902439024390244
130130,AM,Rio Negro e Solimões,2022,,2.0,1021,1074,73,82,Codajás,2022,2022-01-01,,0.9506517690875232,0.8902439024390244
130140,AM,Regional Juruá,2022,1.0,1.0,1021,1074,145,167,Eirunepé,2022,2022-01-01,1.0,0.9506517690875232,0.8682634730538922
130150,AM,Regional Juruá,2022,44.0,48.0,1021,1074,145,167,Envira,2022,2022-01-01,0.9166666666666666,0.9506517690875232,0.8682634730538922
130160,AM,Alto Solimões,2022,1.0,1.0,1021,1074,37,25,Fonte Boa,2022,2022-01-01,1.0,0.9506517690875232,1.48
130165,AM,Regional Juruá,2022,19.0,16.0,1021,1074,145,167,Guajará,2022,2022-01-01,1.1875,0.9506517690875232,0.8682634730538922
130170,AM,Rio Madeira,2022,56.0,82.0,1021,1074,147,165,Humaitá,2022,2022-01-01,0.6829268292682927,0.9506517690875232,0.8909090909090909
130180,AM,Regional Juruá,2022,75.0,83.0,1021,1074,145,167,Ipixuna,2022,2022-01-01,0.9036144578313253,0.9506517690875232,0.8682634730538922
130185,AM,Manaus; Entorno e Alto Rio Negro,2022,23.0,26.0,1021,1074,411,417,Iranduba,2022,2022-01-01,0.8846153846153846,0.9506517690875232,0.9856115107913669
130190,AM,Médio Amazonas,2022,7.0,9.0,1021,1074,7,9,Itacoatiara,2022,2022-01-01,0.7777777777777778,0.9506517690875232,0.7777777777777778
130210,AM,Triângulo,2022,60.0,70.0,1021,1074,143,145,Japurá,2022,2022-01-01,0.8571428571428571,0.9506517690875232,0.9862068965517241
130220,AM,Triângulo,2022,1.0,1.0,1021,1074,143,145,Juruá,2022,2022-01-01,1.0,0.9506517690875232,0.9862068965517241
