ID_MN_RESI,UF,REGSAUDE,NU_ANO,MASCULINO_MUN,FEMININO_MUN,MASCULINO_UF,FEMININO_UF,MASCULINO_RS,FEMININO_RS,MUNICIPIO,ANO,DATA,RAZAO_MUN,RAZAO_UF,RAZAO_RS
110145,RO,Zona da Mata,2021,28.0,46.0,1046.0,1179.0,82.0,106.0,Parecis,2021,2021-01-01,0.6086956521739131,0.8871925360474979,0.7735849056603774
110146,RO,Cone Sul,2021,,1.0,1046.0,1179.0,100.0,117.0,Pimenteiras do Oeste,2021,2021-01-01,,0.8871925360474979,0.8547008547008547
110147,RO,Café,2021,18.0,16.0,1046.0,1179.0,141.0,201.0,Primavera de Rondônia,2021,2021-01-01,1.125,0.8871925360474979,0.7014925373134329
110148,RO,Café,2021,2.0,4.0,1046.0,1179.0,141.0,201.0,São Felipe D'Oeste,2021,2021-01-01,0.5,0.8871925360474979,0.7014925373134329
110149,RO,Vale do Guaporé,2021,31.0,35.0,1046.0,1179.0,95.0,112.0,São Francisco do Guaporé,2021,2021-01-01,0.8857142857142857,0.8871925360474979,0.8482142857142857
110150,RO,Vale do Guaporé,2021,48.0,60.0,1046.0,1179.0,95.0,112.0,Seringueiras,2021,2021-01-01,0.8,0.8871925360474979,0.8482142857142857
110155,RO,Central,2021,4.0,5.0,1046.0,1179.0,5877.0,6280.0,Teixeirópolis,2021,2021-01-01,0.8,0.8871925360474979,0.935828025477707
110160,RO,Central,2021,,3.0,1046.0,1179.0,5877.0,6280.0,Theobroma,2021,2021-01-01,,0.8871925360474979,0.935828025477707
110170,RO,Central,2021,6.0,11.0,1046.0,1179.0,5877.0,6280.0,Urupá,2021,2021-01-01,0.5454545454545454,0.8871925360474979,0.935828025477707
110175,RO,Central,2021,,2.0,1046.0,1179.0,5877.0,6280.0,Vale do Anari,2021,2021-01-01,,0.8871925360474979,0.935828025477707
110180,RO,Central,2021,1.0,1.0,1046.0,1179.0,5877.0,6280.0,Vale do Paraíso,2021,2021-01-01,1.0,0.8871925360474979,0.935828025477707
120001,AC,Baixo Acre e Purus,2021,82.0,98.0,6509.0,7704.0,3211.0,3543.0,Acrelândia,2021,2021-01-01,0.8367346938775511,0.8448857736240913,0.9062941010443127
120005,AC,Alto Acre,2021,159.0,209.0,6509.0,7704.0,856.0,985.0,Assis Brasil,2021,2021-01-01,0.7607655502392344,0.8448857736240913,0.8690355329949239
120010,AC,Alto Acre,2021,168.0,180.0,6509.0,7704.0,856.0,985.0,Brasiléia,2021,2021-01-01,0.9333333333333333,0.8448857736240913,0.8690355329949239
120013,AC,Baixo Acre e Purus,2021,45.0,65.0,6509.0,7704.0,3211.0,3543.0,Bujari,2021,2021-01-01,0.6923076923076923,0.8448857736240913,0.9062941010443127
120017,AC,Baixo Acre e Purus,2021,46.0,48.0,6509.0,7704.0,3211.0,3543.0,Capixaba,2021,2021-01-01,0.9583333333333334,0.8448857736240913,0.9062941010443127
